npy_path,label
C:\AUTSL_project\landmarks\train\0\123.npy,27
C:\AUTSL_project\landmarks\train\0\124.npy,119
C:\AUTSL_project\landmarks\train\0\125.npy,144
C:\AUTSL_project\landmarks\train\0\126.npy,217
C:\AUTSL_project\landmarks\train\0\127.npy,136
C:\AUTSL_project\landmarks\train\0\128.npy,50
C:\AUTSL_project\landmarks\train\0\129.npy,71
C:\AUTSL_project\landmarks\train\0\130.npy,2
C:\AUTSL_project\landmarks\train\0\131.npy,161
C:\AUTSL_project\landmarks\train\0\132.npy,222
C:\AUTSL_project\landmarks\train\0\133.npy,135
C:\AUTSL_project\landmarks\train\0\134.npy,193
C:\AUTSL_project\landmarks\train\0\135.npy,69
C:\AUTSL_project\landmarks\train\0\136.npy,19
C:\AUTSL_project\landmarks\train\0\137.npy,83
C:\AUTSL_project\landmarks\train\0\138.npy,173
C:\AUTSL_project\landmarks\train\0\139.npy,169
C:\AUTSL_project\landmarks\train\0\140.npy,124
C:\AUTSL_project\landmarks\train\0\141.npy,55
C:\AUTSL_project\landmarks\train\0\142.npy,171
C:\AUTSL_project\landmarks\train\0\143.npy,79
C:\AUTSL_project\landmarks\train\0\144.npy,58
C:\AUTSL_project\landmarks\train\0\145.npy,98
C:\AUTSL_project\landmarks\train\0\146.npy,102
C:\AUTSL_project\landmarks\train\0\147.npy,57
C:\AUTSL_project\landmarks\train\0\148.npy,107
C:\AUTSL_project\landmarks\train\0\149.npy,68
C:\AUTSL_project\landmarks\train\0\150.npy,38
C:\AUTSL_project\landmarks\train\0\151.npy,215
C:\AUTSL_project\landmarks\train\0\152.npy,61
C:\AUTSL_project\landmarks\train\0\153.npy,168
C:\AUTSL_project\landmarks\train\0\154.npy,190
C:\AUTSL_project\landmarks\train\0\155.npy,215
C:\AUTSL_project\landmarks\train\0\156.npy,217
C:\AUTSL_project\landmarks\train\0\157.npy,42
C:\AUTSL_project\landmarks\train\0\158.npy,136
C:\AUTSL_project\landmarks\train\0\159.npy,105
C:\AUTSL_project\landmarks\train\0\160.npy,116
C:\AUTSL_project\landmarks\train\0\161.npy,116
C:\AUTSL_project\landmarks\train\0\162.npy,47
C:\AUTSL_project\landmarks\train\0\163.npy,195
C:\AUTSL_project\landmarks\train\0\164.npy,46
C:\AUTSL_project\landmarks\train\0\165.npy,161
C:\AUTSL_project\landmarks\train\0\166.npy,161
C:\AUTSL_project\landmarks\train\0\167.npy,178
C:\AUTSL_project\landmarks\train\0\168.npy,109
C:\AUTSL_project\landmarks\train\0\169.npy,34
C:\AUTSL_project\landmarks\train\0\170.npy,220
C:\AUTSL_project\landmarks\train\0\171.npy,14
C:\AUTSL_project\landmarks\train\0\172.npy,23
C:\AUTSL_project\landmarks\train\0\173.npy,202
C:\AUTSL_project\landmarks\train\0\174.npy,98
C:\AUTSL_project\landmarks\train\0\175.npy,207
C:\AUTSL_project\landmarks\train\0\176.npy,223
C:\AUTSL_project\landmarks\train\0\177.npy,50
C:\AUTSL_project\landmarks\train\0\178.npy,130
C:\AUTSL_project\landmarks\train\0\179.npy,157
C:\AUTSL_project\landmarks\train\0\180.npy,152
C:\AUTSL_project\landmarks\train\0\181.npy,62
C:\AUTSL_project\landmarks\train\0\182.npy,115
C:\AUTSL_project\landmarks\train\0\183.npy,122
C:\AUTSL_project\landmarks\train\0\184.npy,25
C:\AUTSL_project\landmarks\train\0\185.npy,59
C:\AUTSL_project\landmarks\train\0\186.npy,189
C:\AUTSL_project\landmarks\train\0\187.npy,214
C:\AUTSL_project\landmarks\train\0\188.npy,123
C:\AUTSL_project\landmarks\train\0\189.npy,37
C:\AUTSL_project\landmarks\train\0\190.npy,64
C:\AUTSL_project\landmarks\train\0\191.npy,191
C:\AUTSL_project\landmarks\train\0\192.npy,70
C:\AUTSL_project\landmarks\train\0\193.npy,9
C:\AUTSL_project\landmarks\train\0\194.npy,177
C:\AUTSL_project\landmarks\train\0\195.npy,95
C:\AUTSL_project\landmarks\train\0\196.npy,152
C:\AUTSL_project\landmarks\train\0\197.npy,58
C:\AUTSL_project\landmarks\train\0\198.npy,197
C:\AUTSL_project\landmarks\train\0\199.npy,215
C:\AUTSL_project\landmarks\train\0\200.npy,204
C:\AUTSL_project\landmarks\train\0\201.npy,151
C:\AUTSL_project\landmarks\train\0\202.npy,205
C:\AUTSL_project\landmarks\train\0\203.npy,150
C:\AUTSL_project\landmarks\train\0\204.npy,2
C:\AUTSL_project\landmarks\train\0\205.npy,219
C:\AUTSL_project\landmarks\train\0\206.npy,191
C:\AUTSL_project\landmarks\train\0\207.npy,11
C:\AUTSL_project\landmarks\train\0\208.npy,183
C:\AUTSL_project\landmarks\train\0\209.npy,3
C:\AUTSL_project\landmarks\train\0\210.npy,84
C:\AUTSL_project\landmarks\train\0\211.npy,86
C:\AUTSL_project\landmarks\train\0\212.npy,98
C:\AUTSL_project\landmarks\train\0\213.npy,72
C:\AUTSL_project\landmarks\train\0\214.npy,24
C:\AUTSL_project\landmarks\train\0\215.npy,53
C:\AUTSL_project\landmarks\train\0\216.npy,120
C:\AUTSL_project\landmarks\train\0\217.npy,138
C:\AUTSL_project\landmarks\train\0\218.npy,219
C:\AUTSL_project\landmarks\train\0\219.npy,42
C:\AUTSL_project\landmarks\train\0\220.npy,89
C:\AUTSL_project\landmarks\train\0\221.npy,218
C:\AUTSL_project\landmarks\train\0\222.npy,162
C:\AUTSL_project\landmarks\train\0\223.npy,134
C:\AUTSL_project\landmarks\train\0\224.npy,117
C:\AUTSL_project\landmarks\train\0\225.npy,199
C:\AUTSL_project\landmarks\train\0\226.npy,67
C:\AUTSL_project\landmarks\train\0\227.npy,164
C:\AUTSL_project\landmarks\train\0\228.npy,142
C:\AUTSL_project\landmarks\train\0\229.npy,115
C:\AUTSL_project\landmarks\train\0\230.npy,113
C:\AUTSL_project\landmarks\train\0\231.npy,3
C:\AUTSL_project\landmarks\train\0\232.npy,87
C:\AUTSL_project\landmarks\train\0\233.npy,192
C:\AUTSL_project\landmarks\train\0\234.npy,113
C:\AUTSL_project\landmarks\train\0\235.npy,57
C:\AUTSL_project\landmarks\train\0\236.npy,5
C:\AUTSL_project\landmarks\train\0\237.npy,149
C:\AUTSL_project\landmarks\train\0\238.npy,211
C:\AUTSL_project\landmarks\train\0\239.npy,47
C:\AUTSL_project\landmarks\train\0\240.npy,77
C:\AUTSL_project\landmarks\train\0\241.npy,164
C:\AUTSL_project\landmarks\train\0\242.npy,78
C:\AUTSL_project\landmarks\train\0\243.npy,219
C:\AUTSL_project\landmarks\train\0\244.npy,128
C:\AUTSL_project\landmarks\train\0\245.npy,14
C:\AUTSL_project\landmarks\train\0\246.npy,94
C:\AUTSL_project\landmarks\train\0\247.npy,3
C:\AUTSL_project\landmarks\train\0\248.npy,104
C:\AUTSL_project\landmarks\train\0\249.npy,82
C:\AUTSL_project\landmarks\train\0\250.npy,35
C:\AUTSL_project\landmarks\train\0\251.npy,225
C:\AUTSL_project\landmarks\train\0\252.npy,198
C:\AUTSL_project\landmarks\train\0\253.npy,207
C:\AUTSL_project\landmarks\train\0\254.npy,171
C:\AUTSL_project\landmarks\train\0\255.npy,65
C:\AUTSL_project\landmarks\train\0\256.npy,73
C:\AUTSL_project\landmarks\train\0\257.npy,44
C:\AUTSL_project\landmarks\train\0\258.npy,15
C:\AUTSL_project\landmarks\train\0\259.npy,112
C:\AUTSL_project\landmarks\train\0\260.npy,39
C:\AUTSL_project\landmarks\train\0\261.npy,21
C:\AUTSL_project\landmarks\train\0\262.npy,73
C:\AUTSL_project\landmarks\train\0\263.npy,208
C:\AUTSL_project\landmarks\train\0\264.npy,166
C:\AUTSL_project\landmarks\train\0\265.npy,115
C:\AUTSL_project\landmarks\train\0\266.npy,24
C:\AUTSL_project\landmarks\train\0\267.npy,98
C:\AUTSL_project\landmarks\train\0\268.npy,70
C:\AUTSL_project\landmarks\train\0\269.npy,180
C:\AUTSL_project\landmarks\train\0\270.npy,157
C:\AUTSL_project\landmarks\train\0\271.npy,132
C:\AUTSL_project\landmarks\train\0\272.npy,167
C:\AUTSL_project\landmarks\train\0\273.npy,63
C:\AUTSL_project\landmarks\train\0\274.npy,67
C:\AUTSL_project\landmarks\train\0\275.npy,50
C:\AUTSL_project\landmarks\train\0\276.npy,1
C:\AUTSL_project\landmarks\train\0\277.npy,216
C:\AUTSL_project\landmarks\train\0\278.npy,184
C:\AUTSL_project\landmarks\train\0\279.npy,64
C:\AUTSL_project\landmarks\train\0\280.npy,68
C:\AUTSL_project\landmarks\train\0\281.npy,63
C:\AUTSL_project\landmarks\train\0\282.npy,110
C:\AUTSL_project\landmarks\train\0\283.npy,152
C:\AUTSL_project\landmarks\train\0\284.npy,68
C:\AUTSL_project\landmarks\train\0\285.npy,179
C:\AUTSL_project\landmarks\train\0\286.npy,124
C:\AUTSL_project\landmarks\train\0\287.npy,180
C:\AUTSL_project\landmarks\train\0\288.npy,121
C:\AUTSL_project\landmarks\train\0\289.npy,156
C:\AUTSL_project\landmarks\train\0\290.npy,26
C:\AUTSL_project\landmarks\train\0\291.npy,143
C:\AUTSL_project\landmarks\train\0\292.npy,101
C:\AUTSL_project\landmarks\train\0\293.npy,182
C:\AUTSL_project\landmarks\train\0\294.npy,140
C:\AUTSL_project\landmarks\train\0\295.npy,34
C:\AUTSL_project\landmarks\train\0\296.npy,81
C:\AUTSL_project\landmarks\train\0\297.npy,188
C:\AUTSL_project\landmarks\train\0\298.npy,132
C:\AUTSL_project\landmarks\train\0\299.npy,63
C:\AUTSL_project\landmarks\train\0\300.npy,88
C:\AUTSL_project\landmarks\train\0\301.npy,47
C:\AUTSL_project\landmarks\train\0\302.npy,172
C:\AUTSL_project\landmarks\train\0\303.npy,78
C:\AUTSL_project\landmarks\train\0\304.npy,188
C:\AUTSL_project\landmarks\train\0\305.npy,199
C:\AUTSL_project\landmarks\train\0\306.npy,31
C:\AUTSL_project\landmarks\train\0\307.npy,79
C:\AUTSL_project\landmarks\train\0\308.npy,138
C:\AUTSL_project\landmarks\train\0\309.npy,120
C:\AUTSL_project\landmarks\train\0\310.npy,187
C:\AUTSL_project\landmarks\train\0\311.npy,162
C:\AUTSL_project\landmarks\train\0\312.npy,38
C:\AUTSL_project\landmarks\train\0\313.npy,16
C:\AUTSL_project\landmarks\train\0\314.npy,103
C:\AUTSL_project\landmarks\train\0\315.npy,137
C:\AUTSL_project\landmarks\train\0\316.npy,50
C:\AUTSL_project\landmarks\train\0\317.npy,111
C:\AUTSL_project\landmarks\train\0\318.npy,62
C:\AUTSL_project\landmarks\train\0\319.npy,51
C:\AUTSL_project\landmarks\train\0\320.npy,199
C:\AUTSL_project\landmarks\train\0\321.npy,59
C:\AUTSL_project\landmarks\train\0\322.npy,56
C:\AUTSL_project\landmarks\train\0\323.npy,60
C:\AUTSL_project\landmarks\train\0\324.npy,126
C:\AUTSL_project\landmarks\train\0\325.npy,125
C:\AUTSL_project\landmarks\train\0\326.npy,87
C:\AUTSL_project\landmarks\train\0\327.npy,154
C:\AUTSL_project\landmarks\train\0\328.npy,114
C:\AUTSL_project\landmarks\train\0\329.npy,183
C:\AUTSL_project\landmarks\train\0\330.npy,35
C:\AUTSL_project\landmarks\train\0\331.npy,104
C:\AUTSL_project\landmarks\train\0\332.npy,84
C:\AUTSL_project\landmarks\train\0\333.npy,177
C:\AUTSL_project\landmarks\train\0\334.npy,220
C:\AUTSL_project\landmarks\train\0\335.npy,93
C:\AUTSL_project\landmarks\train\0\336.npy,179
C:\AUTSL_project\landmarks\train\0\337.npy,205
C:\AUTSL_project\landmarks\train\0\338.npy,63
C:\AUTSL_project\landmarks\train\0\339.npy,43
C:\AUTSL_project\landmarks\train\0\340.npy,25
C:\AUTSL_project\landmarks\train\0\341.npy,7
C:\AUTSL_project\landmarks\train\0\342.npy,60
C:\AUTSL_project\landmarks\train\0\343.npy,88
C:\AUTSL_project\landmarks\train\0\344.npy,183
C:\AUTSL_project\landmarks\train\0\345.npy,141
C:\AUTSL_project\landmarks\train\0\346.npy,174
C:\AUTSL_project\landmarks\train\0\347.npy,222
C:\AUTSL_project\landmarks\train\0\348.npy,168
C:\AUTSL_project\landmarks\train\0\349.npy,49
C:\AUTSL_project\landmarks\train\0\350.npy,76
C:\AUTSL_project\landmarks\train\0\351.npy,68
C:\AUTSL_project\landmarks\train\0\352.npy,37
C:\AUTSL_project\landmarks\train\0\353.npy,112
C:\AUTSL_project\landmarks\train\0\354.npy,126
C:\AUTSL_project\landmarks\train\0\355.npy,207
C:\AUTSL_project\landmarks\train\0\356.npy,37
C:\AUTSL_project\landmarks\train\0\357.npy,60
C:\AUTSL_project\landmarks\train\0\358.npy,56
C:\AUTSL_project\landmarks\train\0\359.npy,15
C:\AUTSL_project\landmarks\train\0\360.npy,123
C:\AUTSL_project\landmarks\train\0\361.npy,88
C:\AUTSL_project\landmarks\train\0\362.npy,185
C:\AUTSL_project\landmarks\train\0\363.npy,182
C:\AUTSL_project\landmarks\train\0\364.npy,133
C:\AUTSL_project\landmarks\train\0\365.npy,224
C:\AUTSL_project\landmarks\train\0\366.npy,166
C:\AUTSL_project\landmarks\train\0\367.npy,66
C:\AUTSL_project\landmarks\train\0\368.npy,210
C:\AUTSL_project\landmarks\train\0\369.npy,70
C:\AUTSL_project\landmarks\train\0\370.npy,20
C:\AUTSL_project\landmarks\train\0\371.npy,123
C:\AUTSL_project\landmarks\train\0\372.npy,18
C:\AUTSL_project\landmarks\train\0\373.npy,156
C:\AUTSL_project\landmarks\train\0\374.npy,204
C:\AUTSL_project\landmarks\train\0\375.npy,113
C:\AUTSL_project\landmarks\train\0\376.npy,89
C:\AUTSL_project\landmarks\train\0\377.npy,186
C:\AUTSL_project\landmarks\train\0\378.npy,140
C:\AUTSL_project\landmarks\train\0\379.npy,125
C:\AUTSL_project\landmarks\train\0\380.npy,27
C:\AUTSL_project\landmarks\train\0\381.npy,155
C:\AUTSL_project\landmarks\train\0\382.npy,126
C:\AUTSL_project\landmarks\train\0\383.npy,123
C:\AUTSL_project\landmarks\train\0\384.npy,190
C:\AUTSL_project\landmarks\train\0\385.npy,199
C:\AUTSL_project\landmarks\train\0\386.npy,126
C:\AUTSL_project\landmarks\train\0\387.npy,193
C:\AUTSL_project\landmarks\train\0\388.npy,135
C:\AUTSL_project\landmarks\train\0\389.npy,161
C:\AUTSL_project\landmarks\train\0\390.npy,15
C:\AUTSL_project\landmarks\train\0\391.npy,74
C:\AUTSL_project\landmarks\train\0\392.npy,84
C:\AUTSL_project\landmarks\train\0\393.npy,76
C:\AUTSL_project\landmarks\train\0\394.npy,40
C:\AUTSL_project\landmarks\train\0\395.npy,106
C:\AUTSL_project\landmarks\train\0\396.npy,223
C:\AUTSL_project\landmarks\train\0\397.npy,107
C:\AUTSL_project\landmarks\train\0\398.npy,220
C:\AUTSL_project\landmarks\train\0\399.npy,167
C:\AUTSL_project\landmarks\train\0\400.npy,187
C:\AUTSL_project\landmarks\train\0\401.npy,50
C:\AUTSL_project\landmarks\train\0\402.npy,25
C:\AUTSL_project\landmarks\train\0\403.npy,163
C:\AUTSL_project\landmarks\train\0\404.npy,77
C:\AUTSL_project\landmarks\train\0\405.npy,94
C:\AUTSL_project\landmarks\train\0\406.npy,108
C:\AUTSL_project\landmarks\train\0\407.npy,210
C:\AUTSL_project\landmarks\train\0\408.npy,54
C:\AUTSL_project\landmarks\train\0\409.npy,191
C:\AUTSL_project\landmarks\train\0\410.npy,58
C:\AUTSL_project\landmarks\train\0\411.npy,163
C:\AUTSL_project\landmarks\train\0\412.npy,72
C:\AUTSL_project\landmarks\train\0\413.npy,23
C:\AUTSL_project\landmarks\train\0\414.npy,108
C:\AUTSL_project\landmarks\train\0\415.npy,209
C:\AUTSL_project\landmarks\train\0\416.npy,147
C:\AUTSL_project\landmarks\train\0\417.npy,157
C:\AUTSL_project\landmarks\train\0\418.npy,138
C:\AUTSL_project\landmarks\train\0\419.npy,22
C:\AUTSL_project\landmarks\train\0\420.npy,120
C:\AUTSL_project\landmarks\train\0\421.npy,17
C:\AUTSL_project\landmarks\train\0\422.npy,194
C:\AUTSL_project\landmarks\train\0\423.npy,197
C:\AUTSL_project\landmarks\train\0\424.npy,208
C:\AUTSL_project\landmarks\train\0\425.npy,197
C:\AUTSL_project\landmarks\train\0\426.npy,40
C:\AUTSL_project\landmarks\train\0\427.npy,25
C:\AUTSL_project\landmarks\train\0\428.npy,145
C:\AUTSL_project\landmarks\train\0\429.npy,134
C:\AUTSL_project\landmarks\train\0\430.npy,96
C:\AUTSL_project\landmarks\train\0\431.npy,0
C:\AUTSL_project\landmarks\train\0\432.npy,77
C:\AUTSL_project\landmarks\train\0\433.npy,29
C:\AUTSL_project\landmarks\train\0\434.npy,6
C:\AUTSL_project\landmarks\train\0\435.npy,190
C:\AUTSL_project\landmarks\train\0\436.npy,74
C:\AUTSL_project\landmarks\train\0\437.npy,117
C:\AUTSL_project\landmarks\train\0\438.npy,185
C:\AUTSL_project\landmarks\train\0\439.npy,28
C:\AUTSL_project\landmarks\train\0\440.npy,93
C:\AUTSL_project\landmarks\train\0\441.npy,143
C:\AUTSL_project\landmarks\train\0\442.npy,181
C:\AUTSL_project\landmarks\train\0\443.npy,155
C:\AUTSL_project\landmarks\train\0\444.npy,21
C:\AUTSL_project\landmarks\train\0\445.npy,17
C:\AUTSL_project\landmarks\train\0\446.npy,135
C:\AUTSL_project\landmarks\train\0\447.npy,56
C:\AUTSL_project\landmarks\train\0\448.npy,96
C:\AUTSL_project\landmarks\train\0\449.npy,223
C:\AUTSL_project\landmarks\train\0\450.npy,83
C:\AUTSL_project\landmarks\train\0\451.npy,212
C:\AUTSL_project\landmarks\train\0\452.npy,143
C:\AUTSL_project\landmarks\train\0\453.npy,1
C:\AUTSL_project\landmarks\train\0\454.npy,137
C:\AUTSL_project\landmarks\train\0\455.npy,70
C:\AUTSL_project\landmarks\train\0\456.npy,21
C:\AUTSL_project\landmarks\train\0\457.npy,195
C:\AUTSL_project\landmarks\train\0\458.npy,102
C:\AUTSL_project\landmarks\train\0\459.npy,29
C:\AUTSL_project\landmarks\train\0\460.npy,166
C:\AUTSL_project\landmarks\train\0\461.npy,109
C:\AUTSL_project\landmarks\train\0\462.npy,180
C:\AUTSL_project\landmarks\train\0\463.npy,31
C:\AUTSL_project\landmarks\train\0\464.npy,46
C:\AUTSL_project\landmarks\train\0\465.npy,4
C:\AUTSL_project\landmarks\train\0\466.npy,13
C:\AUTSL_project\landmarks\train\0\467.npy,173
C:\AUTSL_project\landmarks\train\0\468.npy,91
C:\AUTSL_project\landmarks\train\0\469.npy,153
C:\AUTSL_project\landmarks\train\0\470.npy,135
C:\AUTSL_project\landmarks\train\0\471.npy,71
C:\AUTSL_project\landmarks\train\0\472.npy,9
C:\AUTSL_project\landmarks\train\0\473.npy,91
C:\AUTSL_project\landmarks\train\0\474.npy,9
C:\AUTSL_project\landmarks\train\0\475.npy,82
C:\AUTSL_project\landmarks\train\0\476.npy,100
C:\AUTSL_project\landmarks\train\0\477.npy,16
C:\AUTSL_project\landmarks\train\0\478.npy,214
C:\AUTSL_project\landmarks\train\0\479.npy,117
C:\AUTSL_project\landmarks\train\0\480.npy,84
C:\AUTSL_project\landmarks\train\0\481.npy,45
C:\AUTSL_project\landmarks\train\0\482.npy,145
C:\AUTSL_project\landmarks\train\0\483.npy,86
C:\AUTSL_project\landmarks\train\0\484.npy,133
C:\AUTSL_project\landmarks\train\0\485.npy,200
C:\AUTSL_project\landmarks\train\0\486.npy,61
C:\AUTSL_project\landmarks\train\0\487.npy,11
C:\AUTSL_project\landmarks\train\0\488.npy,15
C:\AUTSL_project\landmarks\train\0\489.npy,118
C:\AUTSL_project\landmarks\train\0\490.npy,24
C:\AUTSL_project\landmarks\train\0\491.npy,164
C:\AUTSL_project\landmarks\train\0\492.npy,8
C:\AUTSL_project\landmarks\train\0\493.npy,216
C:\AUTSL_project\landmarks\train\0\494.npy,149
C:\AUTSL_project\landmarks\train\0\495.npy,115
C:\AUTSL_project\landmarks\train\0\496.npy,201
C:\AUTSL_project\landmarks\train\0\497.npy,178
C:\AUTSL_project\landmarks\train\0\498.npy,22
C:\AUTSL_project\landmarks\train\0\499.npy,87
C:\AUTSL_project\landmarks\train\0\500.npy,121
C:\AUTSL_project\landmarks\train\0\501.npy,18
C:\AUTSL_project\landmarks\train\0\502.npy,100
C:\AUTSL_project\landmarks\train\0\503.npy,125
C:\AUTSL_project\landmarks\train\0\504.npy,140
C:\AUTSL_project\landmarks\train\0\505.npy,106
C:\AUTSL_project\landmarks\train\0\506.npy,90
C:\AUTSL_project\landmarks\train\0\507.npy,3
C:\AUTSL_project\landmarks\train\0\508.npy,46
C:\AUTSL_project\landmarks\train\0\509.npy,110
C:\AUTSL_project\landmarks\train\0\510.npy,122
C:\AUTSL_project\landmarks\train\0\511.npy,156
C:\AUTSL_project\landmarks\train\0\512.npy,221
C:\AUTSL_project\landmarks\train\0\513.npy,128
C:\AUTSL_project\landmarks\train\0\514.npy,142
C:\AUTSL_project\landmarks\train\0\515.npy,0
C:\AUTSL_project\landmarks\train\0\516.npy,32
C:\AUTSL_project\landmarks\train\0\517.npy,77
C:\AUTSL_project\landmarks\train\0\518.npy,79
